I0,I1,I2
38.000000,25.299999,23.299999
38.000000,23.600000,23.299999
38.000000,25.400000,23.799999
38.000000,26.600000,24.299999
38.000000,27.000000,24.900000
38.000000,28.700001,25.600000
38.000000,33.500000,27.200001
38.000000,30.200001,27.799999
38.000000,32.000000,28.600000
38.000000,33.599998,29.600000
38.000000,35.200001,30.700001
38.000000,36.799999,32.000000
38.000000,40.900002,33.700001
38.000000,39.200001,34.799999
38.000000,40.400002,35.900002
38.000000,41.000000,37.000000
38.000000,43.400002,38.200001
38.000000,45.900002,39.799999
38.000000,45.299999,40.900002
38.000000,46.799999,42.099998
38.000000,47.400002,43.099998
38.000000,49.200001,44.299999
38.000000,50.700001,45.599998
38.000000,51.299999,46.799999
38.000000,52.500000,47.900002
38.000000,53.400002,49.000000
38.000000,54.400002,50.099998
38.000000,54.700001,51.000000
38.000000,61.000000,53.000000
38.000000,57.400002,53.900002
38.000000,56.799999,54.500000
38.000000,58.599998,55.299999
38.000000,59.200001,56.099998
38.000000,59.099998,56.700001
38.000000,60.500000,57.500000
38.000000,61.599998,58.299999
38.000000,61.900002,59.000000
38.000000,62.299999,59.700001
38.000000,62.700001,60.299999
38.000000,63.400002,60.900002
38.000000,64.000000,61.500000
38.000000,64.500000,62.099998
38.000000,65.000000,62.700001
38.000000,65.099998,63.200001
38.000000,64.199997,63.400002
38.000000,65.199997,63.700001
38.000000,65.599998,64.099998
38.000000,63.799999,64.099998
38.000000,66.500000,64.500000
38.000000,65.199997,64.699997
38.000000,67.000000,65.099998
38.000000,66.900002,65.500000
38.000000,66.800003,65.800003
38.000000,66.099998,65.800003
38.000000,66.900002,66.000000
38.000000,65.400002,65.900002
38.000000,68.000000,66.300003
38.000000,67.000000,66.500000
38.000000,68.300003,66.800003
38.000000,68.800003,67.199997
38.000000,69.300003,67.599998
38.000000,67.599998,67.599998
38.000000,75.500000,69.199997
38.000000,67.300003,68.800003
38.000000,68.900002,68.800003
38.000000,69.099998,68.900002
38.000000,68.000000,68.699997
38.000000,69.500000,68.900002
38.000000,69.500000,69.000000
38.000000,70.099998,69.199997
38.000000,70.300003,69.400002
38.000000,69.599998,69.500000
38.000000,70.000000,69.599998
38.000000,70.099998,69.699997
38.000000,74.300003,70.599998
38.000000,67.000000,69.900002
38.000000,69.900002,69.900002
38.000000,69.400002,69.800003
38.000000,71.000000,70.000000
38.000000,70.199997,70.099998
38.000000,71.400002,70.300003
38.000000,70.300003,70.300003
38.000000,73.199997,70.900002
38.000000,72.500000,71.199997
38.000000,69.800003,70.900002
38.000000,71.199997,71.000000
38.000000,71.000000,71.000000
38.000000,70.199997,70.800003
38.000000,70.400002,70.699997
38.000000,70.699997,70.699997
38.000000,70.699997,70.699997
38.000000,70.300003,70.599998
38.000000,70.699997,70.599998
38.000000,71.400002,70.800003
38.000000,71.400002,70.900002
38.000000,72.099998,71.199997
38.000000,70.300003,71.000000
38.000000,69.500000,70.699997
38.000000,70.300003,70.599998
38.000000,70.000000,70.500000
38.000000,71.199997,70.599998
38.000000,69.900002,70.500000
38.000000,73.500000,71.099998
38.000000,71.099998,71.099998
38.000000,70.800003,71.000000
38.000000,71.300003,71.099998
38.000000,71.199997,71.099998
38.000000,73.000000,71.500000
38.000000,70.800003,71.400002
38.000000,71.800003,71.400002
38.000000,72.000000,71.599998
38.000000,71.599998,71.599998
38.000000,69.800003,71.199997
38.000000,64.599998,69.900002
38.000000,71.000000,70.099998
38.000000,70.699997,70.199997
38.000000,71.300003,70.500000
38.000000,71.400002,70.699997
38.000000,71.400002,70.800003
38.000000,72.099998,71.099998
38.000000,69.500000,70.800003
38.000000,71.500000,70.900002
38.000000,71.199997,71.000000
38.000000,71.400002,71.000000
38.000000,68.900002,70.599998
38.000000,72.400002,71.000000
